para_indx,stability,freq,A1,A2,B1,B2
815,2,999,460,460,460,460
820,2,7,1,1,967,994
820,2,993,881,980,35,6
824,2,2,4,4,8302,8302
824,2,998,158,167,375,220
827,2,113,1,1,1,1
827,2,887,65,63,0,0
828,2,998,75,37,1769,4105
828,2,2,4939,4974,2,2
831,2,930,1,1,1281,1281
831,2,70,1281,1281,1,1
834,2,2,7,7,1364,7113
834,2,998,208,206,213,558
837,2,598,0,0,261,251
837,2,402,270,275,0,0
839,2,380,0,0,570,570
839,2,620,570,570,0,0
840,2,780,1,1,530,530
840,2,220,530,530,1,1
843,2,686,2,2,1198,1198
843,2,314,149,1030,7,57
844,2,429,0,0,664,666
844,2,571,653,666,0,0
849,2,458,0,0,383,384
849,2,542,384,383,0,0
853,2,453,82,255,195,80
853,2,547,209,367,82,64
854,2,886,2,2,296,293
854,2,114,293,296,2,2
864,2,909,0,0,1307,1307
864,2,91,1307,1307,0,0
865,2,475,1,1,1362,1362
865,2,525,1362,1362,1,1
868,2,976,0,0,644,644
868,2,24,643,644,0,0
869,2,286,2524,52,52,2185
869,2,714,4345,4345,2,2
870,2,230,2,2,2622,2622
870,2,770,1536,70,70,609
872,2,816,1,1,4711,4711
872,2,184,4711,4711,1,1
875,2,425,2,2,4091,4104
875,2,575,1298,1974,73,97
876,2,173,1,1,1092,1092
876,2,827,1092,1092,1,1
877,2,235,1,1,1905,1905
877,2,765,1905,1905,1,1
879,2,6,6,6,4421,4424
879,2,994,86,102,858,863
880,2,1,0,0,1416,1416
880,2,999,1416,1416,0,0
881,2,595,0,0,3593,3593
881,2,405,3593,3593,0,0
883,2,769,0,0,299,299
883,2,231,299,299,0,0
884,2,584,0,0,1823,1823
884,2,416,1823,1823,0,0
885,2,170,0,0,671,671
885,2,830,671,671,0,0
887,2,690,6,6,2223,3546
887,2,310,3502,894,6,6
890,2,999,291,247,84,86
890,2,1,1105,1105,1,1
895,2,974,0,0,1069,1067
895,2,26,1065,1068,0,0
897,2,99,0,0,303,304
897,2,901,304,304,0,0
898,2,994,1,1,2783,2784
898,2,6,2776,2782,1,1
899,2,483,0,0,2029,2029
899,2,517,2029,2029,0,0
900,2,845,1,1,1949,1949
900,2,155,1949,1949,1,1
901,2,57,6,5,3270,3640
901,2,943,3589,3626,5,5
915,2,905,0,0,428,427
915,2,95,428,428,0,0
919,2,664,1,1,681,681
919,2,336,681,681,1,1
920,2,99,1,1,2809,2810
920,2,901,1727,905,38,24
922,2,959,1,1,1273,1269
922,2,41,1266,1269,1,1
923,2,2,1,1,2938,2938
923,2,998,127,63,66,673
925,2,772,96,89,1422,1226
925,2,228,743,96,101,954
927,2,4,1,1,5236,5227
927,2,996,75,1529,1954,76
928,2,648,1,1,700,700
928,2,352,701,700,1,1
930,2,640,1,1,1116,1116
930,2,360,1116,1116,1,1
931,2,825,48,77,2815,359
931,2,175,587,78,88,256
933,2,1,4,4,6721,6721
933,2,999,99,1147,91,98
941,2,679,0,0,2242,2242
941,2,321,2242,2242,0,0
942,2,997,0,0,1157,1159
942,2,3,1157,1152,0,0
943,2,116,1,1,6543,6543
943,2,884,137,1417,80,77
944,2,983,0,0,1761,1761
944,2,17,1761,1761,0,0
945,2,997,2,2,544,545
